"id_song","name_song","count_p","author","id_folder","one_voice","actual","note","views"
"187","In monte Oliveti","67","Bruckner A.","5","0","0",,"73"
"188","Congregavit nos","55","Szulik M.R.","5","0","0","Congregavit Nos","166"
"189","Crucem Tuam","59","Szulik M.R.","3","0","0",,"97"
"190","Stabat Mater","13"," - ","3","0","0",NULL,"88"
"193","Immutemur habitu","44","Garcia J.","6","0","0",,"73"
"194","Domine, Tu mihi","24","Szulik M.R.","6","0","0",,"85"
"195","Ecce quomodo moritur","57","de Victoria T.L.","6","0","0",,"81"
"197","Te Deum","17","Gounod Ch.","76","0","0",,"77"
"198","Te Deum","19","Gounod Ch.","77","0","0",,"75"
"199","Te Deum","18","Gounod Ch.","78","0","0",,"71"
"200","Te Deum","11","Gounod Ch.","79","0","0",,"81"
"201","Te Deum","20","Szulik M.R.","80","0","0",,"79"
"202","Te Deum","29","Szulik M.R.","81","0","0",,"70"
"203","Dextera Domini","32","Franck C.","73","0","0",,"78"
"204","Cicha noc","25","Hopson H./Szulik M.R.","55","0","0",,"81"
"205","Błogosławieni miłosierni","67","Szulik M.R.","8","0","0",,"88"
"206","Pieśni wielkopostne","27"," - ","32","0","0",,"89"
"207","Alleluja mszalne II","39","Nowacki Z.","43","0","0",,"129"
"208","Alleluja Wielkanocne","58","N.N.","43","0","0",,"80"
"212","Alleluja","35","Hoffman A.","43","0","0",,"208"
"214","Alleluja","71","Boyce W.","43","0","0",,"84"
"216","Alleluja. Dic nobis","139","Szulik M.R.","43","0","0",,"67"
"217","Alleluja. Ciebie Panie","43","Szulik M.R.","43","0","0",,"73"
"218","Ad te levavi","41","Witt F.X.","44","0","0",,"67"
"219","Wesoły nam dzień","16","Chlondowski A. / Szulik M.R.","27","0","0",,"149"
"220","Przygotujcie drogi dla Pana","43"," - ","44","0","0",NULL,"154"
"221","Radujcie się bo Pan przybywa","26","Szulik M.R.","44","0","0",,"72"
"222","Veni, veni Emmanuel","41","Kodały Z.","44","0","0",,"81"
"223","Veni, veni Emmanuel","41","Willcocks D. ","44","0","0",,"75"
"224","Chrystus Wodzem","53","N.N.","45","0","0",NULL,"82"
